CustomerID,CompanyName,Industry,Size,AnnualRevenue,EmployeeCount,Founded,ContractValue,ContractLength,ContractStartDate,AccountManager,SatisfactionScore,NPS_Score,Support_Tickets,ChurnRisk,PaymentTerms,Location,Revenue_per_Employee,Contract_Monthly_Value
CUST0000,Client_Corp_0000,Finance,Small,9888.366794680449,71382,1999,1937.2885743840395,24,2023-03-22,AM013,4.631032919131304,76,21,Low,Net 60,Singapore,138527.45502620336,80.72035726600164
CUST0001,Client_Corp_0001,Technology,Large,172.92927791830294,70817,2013,2277.711658072859,12,2023-05-23,AM001,3.001890202210454,-32,22,Medium,Net 60,San Francisco,2441.9175892554463,189.80930483940492
CUST0002,Client_Corp_0002,Manufacturing,Medium,5981.956851064341,61467,1987,2444.9461330610134,24,2023-12-01,AM003,4.974201917601969,-69,9,Medium,Net 60,New York,97319.81146085447,101.87275554420889
CUST0003,Client_Corp_0003,Technology,Large,2895.861880482752,58784,1980,3948.151517505479,6,2023-03-11,AM016,3.6178822029353173,-62,8,Low,Net 30,London,49262.756540602066,658.0252529175799
CUST0004,Client_Corp_0004,Government,Medium,2343.7142898536367,21010,1975,1552.7211923204459,12,2023-03-01,AM013,3.8007887496641724,-26,15,Medium,Immediate,San Francisco,111552.32222054435,129.3934326933705
CUST0005,Client_Corp_0005,Retail,Medium,4100.896793912727,15066,2017,4196.763920876171,36,2023-03-19,AM001,4.981684029720408,36,46,Medium,Net 30,Sydney,272195.4595720647,116.57677557989365
CUST0006,Client_Corp_0006,Manufacturing,Small,8740.81376508381,65731,1990,1446.6247104385727,24,2023-03-03,AM004,3.183969774210987,-38,17,High,Net 45,Berlin,132978.56057391202,60.2760296016072
CUST0007,Client_Corp_0007,Government,Large,4697.949044881867,7915,2013,1593.9465126794119,36,2023-09-20,AM005,4.634445863179986,-18,31,Low,Net 30,London,593550.1004272732,44.27629201887255
CUST0008,Client_Corp_0008,Government,Enterprise,6778.696229882235,16984,1989,3511.9903138443865,24,2023-05-22,AM003,4.063919893876824,25,45,Low,Immediate,Singapore,399122.48174059315,146.3329297435161
CUST0009,Client_Corp_0009,Retail,Medium,4006.1639782996026,53611,1997,580.9653688323974,12,2023-09-18,AM008,3.6481487330551507,90,40,Low,Net 60,Singapore,74726.5295983959,48.41378073603312
CUST0010,Client_Corp_0010,Manufacturing,Enterprise,2420.402483244673,5559,2002,2579.374150055864,36,2023-02-04,AM013,4.3989283831518,36,14,Low,Net 60,Berlin,435402.4974356311,71.64928194599622
CUST0011,Client_Corp_0011,Government,Enterprise,5765.0722162733,14980,1980,4991.6856905663235,12,2023-01-22,AM003,3.140039185160318,-35,21,Low,Immediate,San Francisco,384851.2827952804,415.97380754719364
CUST0012,Client_Corp_0012,Manufacturing,Enterprise,5433.805298940793,14645,1970,3682.510479525202,6,2023-08-22,AM003,4.869179658734207,67,10,Medium,Net 45,San Francisco,371034.84458455397,613.7517465875336
CUST0013,Client_Corp_0013,Technology,Medium,5089.76461111702,16670,1995,1514.6562613732697,36,2023-07-10,AM011,4.939682961762733,-90,19,Low,Immediate,Singapore,305324.81170468027,42.07378503814638
CUST0014,Client_Corp_0014,Healthcare,Small,8469.348641824468,28842,2006,1190.5675690957885,24,2023-01-20,AM004,3.5576166928383257,-69,7,Medium,Net 60,London,293646.37132738606,49.60698204565785
CUST0015,Client_Corp_0015,Education,Enterprise,3570.5188875177323,33896,2003,3793.94730856944,36,2023-03-16,AM001,4.2440740937213635,-49,12,Medium,Net 60,New York,105337.47012974192,105.38742523804
CUST0016,Client_Corp_0016,Manufacturing,Small,2690.386288898023,10732,1981,3849.9931180823196,6,2023-03-12,AM015,3.750407904339398,66,49,Medium,Net 45,London,250688.24905870509,641.6655196803866
CUST0017,Client_Corp_0017,Technology,Large,9659.420484069842,95820,2015,2563.2315429883124,6,2023-09-21,AM014,4.088803890250536,-71,38,Low,Net 30,San Francisco,100807.97833510584,427.2052571647187
CUST0018,Client_Corp_0018,Retail,Enterprise,1938.2346759872485,99351,1970,1598.7600519933135,24,2023-10-27,AM016,3.2889966956553227,-35,0,Low,Net 60,London,19508.95990968635,66.61500216638807
CUST0019,Client_Corp_0019,Finance,Small,6010.064084034394,97395,1985,4012.0716280387173,6,2023-07-24,AM015,3.010135124266077,-28,37,Low,Net 30,Tokyo,61708.13783083725,668.6786046731196
CUST0020,Client_Corp_0020,Manufacturing,Medium,5673.05340530375,47292,2002,824.1948644196374,12,2023-08-04,AM006,3.8425248494879742,94,21,Low,Net 45,Berlin,119957.99300735326,68.68290536830311
CUST0021,Client_Corp_0021,Education,Medium,2643.85169979967,26222,1974,1439.3529287646409,36,2023-08-20,AM008,4.199746662928863,17,19,Low,Net 45,San Francisco,100825.70741360956,39.982025799017805
