Company,Ticker,Sector,Industry,Market_Cap,Revenue_2023,Revenue_2022,Revenue_2021,EBITDA_2023,EBITDA_2022,EBITDA_2021,NetIncome_2023,NetIncome_2022,NetIncome_2021,TotalAssets,TotalDebt,TotalEquity,Cash,Employees,Founded,Headquarters,EBITDA_Margin_2023,Net_Margin_2023,Revenue_Growth_YoY,Debt_to_Equity,ROE,ROA,Current_Ratio,PE_Ratio
Company_000,AAA,Real Estate,Banking,95120.7163345817,7346.740023932911,5428.060509353626,1332.5472594952485,320.42909546904326,113.96966578107704,1387.220071782147,561.2265129175297,608.0725777960455,-81.47395513377779,48525.58275593772,16665.60855192839,6764.003765009146,950.033587675148,39238,1982,Chicago,4.361514010638814,7.639123081656152,35.347423103943285,2.463867426884239,8.297253112436296,1.1565580072273456,2.0291329012207022,5.317983734887283
Company_001,BAA,Technology,Software,52952.691365580526,4058.623619981029,515.3244026011773,7792.668598847527,473.21496745630543,172.18551781374924,993.2337548396088,320.708190393879,883.2308858067881,320.08660392318194,43137.07993007971,13638.120017896816,13789.727933101518,115.66155774133932,8842,2009,Seattle,11.659493753661183,7.901895332570358,687.5861495195098,0.989005735577946,2.3257035378053823,0.7434629115223156,2.5209933702911527,18.70761961280168
Company_002,CAA,Energy,Hardware,68739.06962470354,4457.509688022053,1186.1402901185315,4011.8975898790345,78.43315701928461,1637.6835197210198,421.4601707440269,628.7745127893802,211.71107608941094,368.0612190600297,27788.803687820702,3778.6036649579883,29102.74651905448,3886.907475637517,211,2011,Chicago,1.759573450396426,14.105959533391136,275.7995344358981,0.12983666893720902,2.1605332416914735,2.262690110207803,1.9947499470277128,46.48434057604026
Company_003,DAA,Consumer Goods,E-commerce,20402.303379495374,547.7501602143268,2995.439943793053,3170.550588546908,549.9845732300529,1493.4401413819535,577.237789442807,209.02796065611886,442.6960831582485,26.831802477286388,40307.65205694795,1583.5578092274393,29613.164629715262,3872.6116080184543,2077,1957,Miami,100.40792557958392,38.16118658446931,-81.71386605999771,0.053474791668784424,0.7058616100974573,0.5185813362703375,0.5351995567877111,13.947908183996232
Company_004,EAA,Consumer Goods,Biotech,79227.37851258936,6099.003750332013,8344.077818768807,5243.508501465361,1830.7697543321237,1531.5690542437408,724.6265718797434,4.951128139452436,270.81825219826635,501.9571273972465,33630.195474257336,11866.82597538377,8604.292893206893,2828.1549579461207,32532,1996,Seattle,30.017521373592558,0.08117929324412877,-26.906197631412564,1.379175037701547,0.05754253372013128,0.014722269881667326,2.62228456066521,37.477828452419296
Company_005,FAA,Real Estate,Oil & Gas,26350.76395337107,500.29253643047036,6424.899718203508,976.0374844134675,884.2796387128825,371.0773721803592,1434.264117120896,422.9072455003229,463.2755719763836,525.9644777835148,7827.241265887908,12127.905847628563,16425.312193399357,1055.1530624371085,16248,2008,Boston,176.75251464315576,84.53199172582454,-92.21322420001353,0.7383668392313577,2.574728811975163,5.403017885029369,0.903053218135011,46.83639435541579
Company_006,GAA,Energy,E-commerce,63706.971894531925,8727.459842858405,7252.681484402119,1573.903465199683,1786.1924069950558,975.4226130290148,1293.8298467108593,885.7004299158425,218.00347497186385,-0.9532679250909126,12168.822964555142,8599.4449936625,24631.43559471355,4310.6163871189,40344,2019,Miami,20.466349191588424,10.148433173721246,20.33424963757195,0.34912479869862445,3.5958132708510644,7.278439603367352,1.8352235484386048,26.817348711154246
Company_007,HAA,Technology,Biotech,27671.821046053625,2516.842670252964,1597.790275339082,1828.237334627255,1120.622984014509,732.866746193893,113.17867290328068,179.30695532777918,146.8760628386012,526.6738455558095,35901.25890629766,3046.929906072658,29933.344308943786,1370.5660206626608,28723,1951,Chicago,44.5249517285829,7.124281443851924,57.520214580029375,0.10179049405990581,0.5990207892480762,0.4994447570648444,0.6286968781249733,17.539090890647515
Company_008,IAA,Technology,Software,24716.62717603027,1534.4592337031086,4456.129566470311,7886.638587473745,491.6899903078858,1213.1226298565225,1220.975188372661,161.4012983916396,628.2163486118595,231.00481944732792,31982.985699085395,12707.241244141806,16305.353180205375,496.9343617693211,25234,2008,Seattle,32.043209718989466,10.518448118177117,-65.56520157652082,0.77932940818285,0.989866926572189,0.5046473769215835,2.2395320169772046,43.62614621661739
Company_009,JAA,Retail,Biotech,22803.86370898928,7140.380371136376,7304.559310643467,2854.461299604662,201.39133667192732,1693.5366434363912,642.1395135291605,469.52648558022815,737.7101059073279,508.1211053353527,37025.58984279783,4260.5252526805025,16472.71522791319,3494.132776758157,16696,1965,San Francisco,2.8204567012426023,6.575650892187751,-2.2476227863310787,0.2586413468412904,2.8503284314938595,1.2681134522737652,2.955420858323589,28.248615107195644
Company_010,KAA,Technology,Hardware,99629.1162760345,9657.651577759058,5068.8117371031685,7072.827111195784,385.527145599345,509.17972114000554,1123.5689496567063,831.3272564621365,756.3242918780925,264.05731440997107,44500.73483928703,17033.476130473504,28101.232329517952,3937.436223014021,48404,1974,Austin,3.991934710993187,8.607964884306128,90.53087939853958,0.6061469451139083,2.9583302494136454,1.86812028939398,1.2098024368436642,18.741373715497705
Company_011,LAA,Healthcare,E-commerce,45393.99015563849,9945.128879847125,1665.7347488283738,242.79537256261486,992.8484932150349,330.0926495061786,592.6853674867473,718.5875753622186,620.9399242521292,177.25471266715027,27584.471297190066,10225.400129091324,19271.812236483915,1289.7860020976416,14423,2000,Seattle,9.98326422121034,7.2255230077346635,497.04156900384174,0.5305884056784956,3.7286974704010647,2.6050438582646263,2.765246969296385,24.54774644796929
Company_012,MAA,Energy,E-commerce,64865.23284102592,6722.348190664687,7791.091329139937,1918.4636191082866,1003.3948259706572,1033.887516584438,1232.0008827470313,-52.035851070122874,894.5505107973411,322.9500625918487,14698.456748041172,17681.531043098552,22557.70382997371,4767.705642768568,3470,1995,Austin,14.92625489652663,-0.7740725352843962,-13.717502379647112,0.7838355878936619,-0.23067884684690232,-0.3540225478233119,1.9307311729270957,
Company_013,NAA,Retail,Software,8459.279344606693,3126.4004909431005,1799.1081772380796,2220.951369432239,975.7069498098682,677.1094920983483,637.5594322270608,828.6344547989426,830.0168348108318,-36.62548223541049,11237.017163152648,13455.755984798607,11080.080048236836,1308.110062895207,10779,1951,San Francisco,31.208636022045255,26.504424407539013,73.77501422636121,1.2144096365928159,7.478596284426686,7.374149587633642,2.351921544385511,36.36570834478706
Company_014,OAA,Finance,E-commerce,36589.62397075576,3006.5592582184845,7303.314283758771,6499.895817965528,1735.4739139744063,1644.7005890760836,823.0344141888911,451.66792415591954,698.2951789667752,484.9675376999886,35396.37698562747,15936.274121778411,26755.157583618206,1723.0760264151022,13453,2015,Miami,57.722923944720414,15.022751436589084,-58.832947051114594,0.5956337230297594,1.6881527337086935,1.2760286860412782,1.945700352490435,6.617402320853394
Company_015,PAA,Technology,Hardware,54721.818836050086,2936.758396070016,5358.416019064196,340.9519745184905,84.32289561093668,1482.4550035807883,582.703119843908,39.766563917073256,422.2432600548044,592.9941977887497,11575.230347345316,12495.520468798106,3017.750217316156,305.8245197846081,32143,1996,Boston,2.8712915479795,1.3540972240102918,-45.19353507414124,4.140674200633819,1.317755316158663,0.34354879102853786,2.0935747537455165,37.67411001751977
Company_016,QAA,Energy,Hardware,52113.734481818334,3297.269082118335,7177.157133441463,2239.574784970386,883.5531272042158,150.43692260265607,50.30768203057744,958.9132561457175,735.9801205122059,526.3767854843281,21038.694276299226,3548.556969409831,5114.892758797038,1288.702345914747,7855,1997,New York,26.79651266546241,29.08204433014191,-54.05884222939833,0.6937695738208222,18.74747529156882,4.5578553666515536,2.150493441794328,17.59702536256743
Company_017,RAA,Consumer Goods,Insurance,74051.79475288108,5588.105119862867,5544.314641485735,3414.8404931795403,502.9846691073034,647.1910947857582,1214.975315638347,-84.16716250726854,16.07264050691623,-58.597622180422526,2995.7113136295366,17123.665621819044,21257.906851710697,2397.1604539822597,43275,1997,Austin,9.000987961365457,-1.5061843093841805,0.7898267181567666,0.8055198351027228,-0.39593344299791833,-2.8095885649706847,1.6836794269514141,
Company_018,SAA,Technology,E-commerce,43951.31327455933,4045.196870533997,5581.065872664726,5117.239841854386,100.15497944636859,680.5565801813835,1005.1172659856359,453.44988443809643,756.4898411883223,492.8242684570505,8983.786926990055,1504.318073268554,19451.36870708631,181.23098718102798,25521,1981,Boston,2.475898767150667,11.209587541736568,-27.519277449370367,0.0773373892563415,2.331197826057868,5.04742474552456,2.502373236705999,35.472575407234174
Company_019,TAA,Finance,Banking,13721.534970157109,8130.9213496864295,7403.691334121203,5044.923393802425,1642.6494191048234,1176.1577416254404,338.6281322040252,201.35724005324715,114.58911970837414,239.53317490517827,2909.1934832014476,12403.252298324067,10428.349339217431,3295.827045134674,23182,1975,San Francisco,20.202500411200912,2.4764381721760538,9.822532879155295,1.189378289398084,1.930863969967058,6.921411078910496,0.5581798393395647,41.65108171650211
Company_020,UAA,Technology,Oil & Gas,12698.31793454397,6997.697937105091,5697.591336340967,7032.0289068637185,1472.7913771697326,1448.230865388879,458.43497038837734,95.18349815769511,650.6147516408583,626.1512653405376,49534.75195803299,8311.091770537387,11474.533530887104,3893.2441556728845,23240,2011,Miami,21.04679839580241,1.3602115869132814,22.818530217701806,0.7243075936956934,0.8295195434435793,0.1921549909815574,2.6460318796075297,24.304731231875827
